ISIN;null
Начальная дата;21.10.2023
Конечная дата;06.11.2023

ISIN;Полное наименование ЦБ;Объем эмиссии (млн);Дата;Номинал;Валюта номинала;Непогашенный номинал;Ставка купона,  % годовых;Размер выплаты;Размер выплаты, руб.*
RU000A105SZ2;СибАвтоТранс 001Р-01;200;02.11.2023;1000;RUB;1000;18;44,88;44,88
RU000A105SX7;АБЗ-1 001P-03;1500;02.11.2023;1000;RUB;1000;14,25;35,53;35,53
RU000A105G99;СФО ВТБ РКС Эталон 01;10000;02.11.2023;1000;RUB;1000;11;9,34;9,34
RU000A1059T6;БКС Банк 001P-09;400;02.11.2023;1000;RUB;1000;0,01;0,1;0,1
RU000A1059N9;ПАО "ЛУКОЙЛ" ЗО-26;315,76;02.11.2023;1000;USD;1000;4,75;23,75;2213,91
RU000A103H25;НПО ХимТэк 001P-01;150;02.11.2023;1000;RUB;900;13;29,17;29,17
RU000A102CZ3;Онлайн Микрофинанс 03;700;02.11.2023;1000;RUB;1000;12,5;10,27;10,27
RU000A102028;ЭНЕРГОНИКА 001Р-01;50;02.11.2023;1000;RUB;1000;18;44,88;44,88
RU000A101MW1;Банк ВТБ (ПАО) Б-1-66;335,659;02.11.2023;1000;RUB;1000;0,01;0,05;0,05
RU000A100DC4;МСБ-Лизинг 002Р-02;200;02.11.2023;1000;RUB;145,97;12,75;1,53;1,53
RU000A100D89;Республика Беларусь 07;10000;02.11.2023;1000;RUB;1000;8,5;42,38;42,38
RU000A0ZYFB8;Красноярский край  обл.14;7800;02.11.2023;1000;RUB;750;7,84;14,66;14,66
RU000A0ZYF61;Ненецкий авт.округ 2017;2000;02.11.2023;1000;RUB;100;7,8;1,94;1,94
RU000A0NX498;ВЭБ.РФ ПБО-001Р-К449;30000;02.11.2023;1000;RUB;1000;13,05;5,01;5,01
RU000A0NX480;ВЭБ.РФ ПБО-001Р-К447;2501,05;02.11.2023;1000;RUB;1000;13,05;5,01;5,01
RU000A0JXE06;ГосТранспортЛизингКомп 001P-03;10000;02.11.2023;1000;RUB;1000;11;27,42;27,42
RU000A0JWXQ7;Хакасия 2016 об.35006;5000;02.11.2023;1000;RUB;400;11,7;11,8;11,8
