ISIN;null
Начальная дата;21.10.2023
Конечная дата;06.11.2023

ISIN;Полное наименование ЦБ;Объем эмиссии (млн);Дата;Номинал;Валюта номинала;Непогашенный номинал;Ставка купона,  % годовых;Размер выплаты;Размер выплаты, руб.*
RU000A100TT4;БЭЛТИ-ГРАНД ООО БО-П02;300;26.10.2023;1000;RUB;307;12,5;3,15;3,15
RU000A0JXQK2;ПАО НК Роснефть 001P-04;40000;26.10.2023;1000;RUB;1000;8,5;42,38;42,38
RU000A102A49;ОФЗ-ПК 29019 18/07/2029;430194,756;25.10.2023;1000;RUB;1000;11,14;27,78;27,78
RU000A1025A7;ОФЗ-ПК 29015 18/10/2028;409796,724;25.10.2023;1000;RUB;1000;11,14;27,78;27,78
RU000A101CK7;ОФЗ-ПК 24021 24/04/24;300000;25.10.2023;1000;RUB;1000;11,14;27,78;27,78
RU000A107456;МТС-Банк ПАО 001P-03;10000;25.10.2023;1000;RUB;1000;15,37;0,84;0,84
RU000A106XT3;АйДи Коллект 04;600;25.10.2023;1000;RUB;1000;16,5;13,56;13,56
RU000A106WW9;ВЭБ.РФ ПБО-002Р-38;40000;25.10.2023;1000;RUB;1000;;14,06;14,06
RU000A1065S5;МегаФон ПАО БО-002P-03;20000;25.10.2023;1000;RUB;1000;8,9;22,19;22,19
RU000A105575;МФК ВЭББАНКИР 03;100;25.10.2023;1000;RUB;1000;16;13,15;13,15
RU000A104FG2;ГК Сегежа 002P-03R;9000;25.10.2023;1000;RUB;1000;10,9;27,18;27,18
RU000A1042W6;ВЭБ.РФ ПБО-002Р-31;50000;25.10.2023;1000;RUB;1000;;31,64;31,64
RU000A1037E4;СпецИнвестЛизинг 001P-03;250;25.10.2023;1000;RUB;437,5;10;3,6;3,6
RU000A1020K7;ПЮДМ ООО БО-П02;120;25.10.2023;10000;RUB;10000;13;106,85;106,85
RU000A101MB5;Совкомбанк БО-П02;11933,358;25.10.2023;1000;RUB;1000;9;22,44;22,44
RU000A101LX1;ФСК Россети ПАО БО 001P-05R;10000;25.10.2023;1000;RUB;1000;6,5;16,21;16,21
RU000A101LN2;Международн.инвест.банк БО1P-3;5000;25.10.2023;1000;RUB;1000;7,75;38,64;38,64
RU000A101LM4;Международн.инвест.банк БО1P-2;7000;25.10.2023;1000;RUB;1000;7,75;38,64;38,64
RU000A100ZF0;Россети Урал БО-03;3000;25.10.2023;1000;RUB;1000;8,8;43,88;43,88
RU000A100ZD5;Россети Урал БО-04;4000;25.10.2023;1000;RUB;1000;8,8;43,88;43,88
RU000A0NNEB0;Банк ВТБ (ПАО) Б-1-189;255,677;25.10.2023;1000;RUB;1000;0,01;0,05;0,05
RU000A0NNEA2;Банк ВТБ (ПАО) Б-1-188;40,602;25.10.2023;1000;RUB;1000;0,01;0,05;0,05
RU000A0JVDD9;ФСК Россети(ПАО)-обл. сер.38;20000;25.10.2023;1000;RUB;1000;4,25;10,6;10,6
RU000A0JVCB5;ФСК Россети(ПАО)-обл. сер.37;20000;25.10.2023;1000;RUB;1000;4,25;10,6;10,6
RU000A106LS0;Глобал Факторинг БО-03-001P;150;24.10.2023;1000;RUB;1000;14,75;12,12;12,12
RU000A106K35;АВТОБАН-Финанс АО БО-П04;5000;24.10.2023;1000;RUB;1000;10;24,93;24,93
RU000A1065K2;ДОМ.РФ АО 001P-15R;15000;24.10.2023;1000;RUB;1000;8,85;44,13;44,13
RU000A1065C9;Россети ПАО БО 001P-09R;5000;24.10.2023;1000;RUB;1000;10,44;26,03;26,03
RU000A1065B1;АБЗ-1 001P-04;1500;24.10.2023;1000;RUB;1000;13,75;34,28;34,28
RU000A1065A3;Россети ПАО БО 001P-10R;10000;24.10.2023;1000;RUB;1000;11,15;27,8;27,8
RU000A1060U2;Глобал Факторинг БО-02-001P;150;24.10.2023;1000;RUB;1000;16,5;13,56;13,56
RU000A105BP9;РЕАТОРГ 001Р-01;200;24.10.2023;1000;RUB;1000;16;39,89;39,89
RU000A1058U6;МФК КарМани 02;274,622;24.10.2023;1000;RUB;800;19;12,49;12,49
RU000A104ZK2;МВ ФИНАНС 001Р-03;5000;24.10.2023;1000;RUB;1000;12,35;30,79;30,79
RU000A103WZ9;НЕКС-Т БО-П01;294;24.10.2023;1000;RUB;1000;11,5;28,67;28,67
RU000A103TS0;ТЕХНО Лизинг 001P-05;423,874;24.10.2023;1000;RUB;1000;11,5;9,45;9,45
RU000A1031U3;ВЭБ.РФ ПБО-001Р-26;10000;24.10.2023;1000;RUB;1000;8,13;40,54;40,54
RU000A1031T5;ВЭБ.РФ ПБО-001Р-25;10000;24.10.2023;1000;RUB;1000;8,13;40,54;40,54
RU000A1031S7;ВЭБ.РФ ПБО-001Р-24;30000;24.10.2023;1000;RUB;1000;8,13;40,54;40,54
RU000A1030T7;Гор.Обл.Займ Москвы 73 в.;70000;24.10.2023;1000;RUB;1000;7,2;35,9;35,9
RU000A1030S9;Гор.Обл.Займ Москвы 72 в.;70000;24.10.2023;1000;RUB;1000;6,55;32,66;32,66
RU000A100Z91;ГТЛК БО 001P-15;25000;24.10.2023;1000;RUB;400;7,69;11,5;11,5
RU000A100LE3;Ламбумиз БО-П01;120;24.10.2023;10000;RUB;10000;9,5;78,08;78,08
RU000A100238;Мобильные ТелеСистемы 001P-07;10000;24.10.2023;1000;RUB;1000;8,7;21,69;21,69
RU000A0ZZR33;Липецкая область 10;3000;24.10.2023;1000;RUB;300;8,57;8,55;8,55
RU000A0JXS83;Ярославская обл. об.2017г.;10000;24.10.2023;1000;RUB;875;8,4;20,94;20,94
RU000A0JWHW8;Новосибирск  мун.обл. 2016;3000;24.10.2023;1000;RUB;300;9,7;11;11
CH0248531110;VTB CAPITAL S.A. 24 CHF;350;24.10.2023;5000;CHF;5000;4,073;203,625;21605,35
XS2388941580;BCS SP Plc Series 216;5;23.10.2023;1250;USD;1250;;;
RU000A1065M8;АйДи Коллект 03;800;23.10.2023;1000;RUB;1000;15;12,33;12,33
RU000A105ZN3;Банк ВТБ (ПАО) Б-1-318;5000;23.10.2023;1000;RUB;1000;8,13;6,68;6,68
RU000A105RQ3;Банк ВТБ (ПАО) Б-1-321;806,239;23.10.2023;1000;RUB;1000;0,01;0,02;0,02
RU000A105PP9;ЕвроТранс БО-001Р-01;3000;23.10.2023;1000;RUB;1000;13,5;11,1;11,1
RU000A105C93;Сибирское Стекло БО-П03;300;23.10.2023;1000;RUB;1000;17;13,97;13,97
RU000A1030Y7;АО Авто Финанс Банк БО-001Р-08;8000;23.10.2023;1000;RUB;1000;7,4;37,1;37,1
RU000A1030F6;Райффайзенбанк БРО-02;61,098;23.10.2023;1000;RUB;1000;0,01;0,05;0,05
RU000A100B73;МЕТАЛЛОИНВЕСТ БО-09;5000;23.10.2023;1000;RUB;1000;8,85;44,13;44,13
RU000A0ZYH93;Новосибирск  мун.обл. 2017;5000;23.10.2023;1000;RUB;450;7,85;8,71;8,71
RU000A0ZYDU3;Свердловская обл. 04;10000;23.10.2023;1000;RUB;400;7,7;11,52;11,52
RU000A0JVWJ6;ГосТранспортЛизингКомп БО-06;4000;23.10.2023;1000;RUB;1000;11,64;29,02;29,02
XS2243344434;Bonitron DAC 22/10/25;300;22.10.2023;1000;USD;1000;9;45;4315,74
XS2010040397;Uralkali Finance 22/10/24;500;22.10.2023;1000;USD;1000;4;20;1918,11
RU000A106VT7;АЛЬФА-БАНК Б1Р07;2601,993;22.10.2023;1000;RUB;1000;13;10,68;10,68
RU000A106TQ7;Вымпел-Коммуникации 002Р-03;6000;22.10.2023;1000;RUB;1000;7,3;10,2;10,2
RU000A106TN4;Вымпел-Коммуникации 002Р-01;7000;22.10.2023;1000;RUB;1000;9,32;13,02;13,02
RU000A106L67;ОйлРесурсГрупп БО-02;300;22.10.2023;1000;RUB;1000;16,5;13,56;13,56
RU000A1065H8;Кузина БО-П02;70;22.10.2023;1000;RUB;1000;16,5;13,56;13,56
RU000A105YK2;Вымпел-Коммуникации 001Р-03;9600;22.10.2023;1000;RUB;1000;7,3;18,2;18,2
RU000A105WK6;Вымпел-Коммуникации 001Р-04;6000;22.10.2023;1000;RUB;1000;8,85;22,06;22,06
RU000A105WC3;Вымпел-Коммуникации 001Р-01;12000;22.10.2023;1000;RUB;1000;9,32;23,24;23,24
RU000A105P64;Феррони БО-02;200;22.10.2023;1000;RUB;1000;16,5;13,56;13,56
RU000A105A04;МЕТАЛЛОИНВЕСТ 028;285,78;22.10.2023;1000;USD;1000;3,375;16,875;1618,4
RU000A103GL2;МФК ЦФП Об-02;1000;22.10.2023;1000;RUB;1000;13;10,68;10,68
RU000A106EP1;ПР-Лизинг ООО БО 002Р-02;1500;21.10.2023;1000;RUB;1000;12,5;10,27;10,27
RU000A106EM8;Балтийский лизинг ООО БО-П08;10000;21.10.2023;1000;RUB;1000;10,7;8,79;8,79
RU000A1068R1;Россельхозбанк БO-02-002P;25000;21.10.2023;1000;RUB;1000;13,28;11,28;11,28
RU000A105RU5;Мосрегионлифт БО-01;200;21.10.2023;1000;RUB;1000;18;14,79;14,79
RU000A1043E2;Новосибирская область 35022;10000;21.10.2023;1000;RUB;1000;9,03;22,51;22,51
RU000A1013C9;ИС петролеум БО-П01;300;21.10.2023;1000;RUB;420;14;4,99;4,99
RU000A100Q35;ПР-Лизинг ООО БО 001Р-03;400;21.10.2023;1000;RUB;1000;11;9,04;9,04
